"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","notes"
61897,"201411040LAL","NBA",0,2015,"11/4/2014",5,0,"LAL","Lakers",106,1396.1412,1389.7228,29.291142,"PHO","Suns",112,1544.37,1550.7885,"H","L",0.43103564,"NULL"
61897,"201411040LAL","NBA",1,2015,"11/4/2014",4,0,"PHO","Suns",112,1544.37,1550.7885,45.828838,"LAL","Lakers",106,1396.1412,1389.7228,"A","W",0.56896436,"NULL"
61898,"201411040MIA","NBA",1,2015,"11/4/2014",5,0,"HOU","Rockets",108,1621.0573,1640.0063,54.667019,"MIA","Heat",91,1596.9768,1578.0277,"A","W",0.39244932,"NULL"
61898,"201411040MIA","NBA",0,2015,"11/4/2014",4,0,"MIA","Heat",91,1596.9768,1578.0277,48.619064,"HOU","Rockets",108,1621.0573,1640.0063,"H","L",0.60755068,"NULL"
61899,"201411040NOP","NBA",0,2015,"11/4/2014",4,0,"NOP","Pelicans",100,1453.1731,1461.2051,36.472992,"CHO","Hornets",91,1503.4882,1495.4562,"H","W",0.57101893,"NULL"
61899,"201411040NOP","NBA",1,2015,"11/4/2014",4,0,"CHO","Hornets",91,1503.4882,1495.4562,40.047417,"NOP","Pelicans",100,1453.1731,1461.2051,"A","L",0.42898107,"NULL"
61900,"201411040NYK","NBA",0,2015,"11/4/2014",4,0,"NYK","Knicks",83,1521.5439,1504.0078,40.944275,"WAS","Wizards",98,1543.4327,1560.9689,"H","L",0.61055464,"NULL"
61900,"201411040NYK","NBA",1,2015,"11/4/2014",4,0,"WAS","Wizards",98,1543.4327,1560.9689,46.878448,"NYK","Knicks",83,1521.5439,1504.0078,"A","W",0.38944536,"NULL"
61901,"201411040POR","NBA",0,2015,"11/4/2014",4,0,"POR","Trailblazers",101,1559.3123,1566.2142,47.416286,"CLE","Cavaliers",82,1469.7677,1462.8657,"H","W",0.74858999,"NULL"
61901,"201411040POR","NBA",1,2015,"11/4/2014",3,0,"CLE","Cavaliers",82,1469.7677,1462.8657,36.645142,"POR","Trailblazers",101,1559.3123,1566.2142,"A","L",0.25141001,"NULL"
